Car Make,Car Model,Year,Mileage,Price,Fuel Type,Transmission,Color,Accident,Condition,Options/Features
Ford,Kuga,2021,78058.0,132640.98,Benzyna,Automatyczna,Czarny,Nie,Dobry,"Tempomat, Bluetooth, Alufelgi"
Skoda,Kodiaq,2020,79524.0,68433.29,Diesel,Automatyczna,Srebrny,Tak,Dobry,"Klimatyzacja, Elektryczne szyby, Centralny zamek"
Volkswagen,Passat,2019,70913.0,36252.15,Benzyna,Automatyczna,Biały,Nie,Zadowalający,"Tempomat, Bluetooth, Alufelgi"
Skoda,Karoq,2021,48591.0,98384.46,Hybryda,Automatyczna,Biały,Nie,Bardzo dobry,"Klimatyzacja automatyczna, LED, Parktronic"
Kia,Picanto,2015,174759.0,81332.08,Benzyna,Automatyczna,Niebieski,Nie,Zadowalający,"Pakiet zimowy, Hak holowniczy, Dach panoramiczny"
BMW,X5,2022,37219.0,54649.8,Hybryda,Automatyczna,Szary,Nie,Zadowalający,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Audi,A4,2019,82256.0,111876.88,Benzyna,Manualna,Srebrny,Nie,Doskonały,"Full opcja: Navi, Kamera 360, Head-up display"
Skoda,Superb,2023,31841.0,33183.41,Diesel,Automatyczna,Czarny,Nie,Zadowalający,"Pakiet zimowy, Hak holowniczy, Dach panoramiczny"
Toyota,RAV4,2019,124854.0,112819.68,Diesel,Automatyczna,Szary,Nie,Bardzo dobry,"Nawigacja, Ksenony, Skórzana tapicerka"
Skoda,Karoq,2015,146106.0,66126.56,Hybryda,Automatyczna,Srebrny,Nie,Doskonały,"Full opcja: Navi, Kamera 360, Head-up display"
Renault,Captur,2015,94271.0,47918.6,Benzyna,Manualna,Niebieski,Nie,Zadowalający,"Klimatyzacja, Elektryczne szyby, Centralny zamek"
Mercedes-Benz,GLC,2019,124705.0,106277.41,Benzyna,Manualna,Czarny,Nie,Bardzo dobry,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Toyota,Corolla,2018,79724.0,16217.58,Benzyna,Automatyczna,Szary,Nie,Dobry,"Klimatyzacja, Elektryczne szyby, Centralny zamek"
BMW,1 Series,2016,191002.0,26577.27,Diesel,Automatyczna,Zielony,Nie,Bardzo dobry,"Klimatyzacja, Podgrzewane fotele, Kamera cofania"
Renault,Clio,2016,178671.0,40565.48,Elektryczny,Automatyczna,Czarny,Nie,Zadowalający,"Klimatyzacja, Elektryczne szyby, Centralny zamek"
Volkswagen,Touareg,2020,41075.0,67523.04,Diesel,Manualna,Beżowy,Nie,Zadowalający,"Klimatyzacja automatyczna, LED, Parktronic"
